Kundennummer;Filialnummer;Filialname;Strasse;PLZ                      ;ORT
21502;86402;REAL Bocholt 8640.2           ;Welfenstraße 21               ;46395;Bocholt

21502;86419;REAL Hemer 8641.9             ;Urbecker Straße 127           ;58675;Hemer

21502;86440;REAL Detmold 8644.0           ;Klingenbergstraße 31          ;32758;Detmold

21502;86457;REAL Recklinghausen           ;Castroper Straße 124          ;45665;Recklinghausen

21502;86464;REAL Herten (Westerholt)      ;Am Hoppenwall 1               ;45701;Herten (Westerholt)

21502;86471;REAL Wesel 8647.1             ;Rudolf-Diesel-Straße 7        ;46485;Wesel

21502;86488;REAL Moers 1 8648.8           ;Römerstraße 570               ;47443;Moers 1

21502;86501;REAL Bochum - Wattenscheid 1  ;Ottostraße 40 - 43            ;44867;Bochum-WattenscheiD

21502;86518;REAL Wuppertal-Langenfeld     ;Dieselstraße 20               ;42389;Wuppertal-Langenfeld

21502;86525;REAL Essen 8652.5             ;Husmannshofstr. 10            ;45143;Essen

21502;86570;REAL Herne 8657.0             ;Am Großmarkt 4                ;44653;Herne

21502;86587;REAL Düsseldorf Bilk 1        ;Friedrichstraße 152           ;40217;DÜSSELDORF Bilk 1

21502;86594;REAL Dortmund 1 8659.4        ;Bornstraße 160                ;44145;Dortmund 1

21502;86600;REAL Krefeld - Fischeln 1 8660;Hafelsstraße 200              ;47809;Krefeld - Fischeln 1

21502;86624;REAL Mönchengladbach - Rheydt ;Hauptstraße 278               ;41236;MÖNCHENGLADBACH-RHEY

21502;86648;REAL Mönchengladbach 1        ;Krefelder Straße 131          ;41063;MÖNCHENGALDBACH 1

21502;86655;REAL Paderborn 8665.5         ;Husener Straße 121            ;33100;Paderborn

21502;86662;REAL Hamm 8666.2              ;Richard-Mattei-Platz 1        ;59065;Hamm

21502;86679;REAL Dülmen 8667.9            ;Auf dem Quellberg 16          ;48249;DÜLMEN

21502;86730;REAL Neuss 1 8673.0           ;Breslauer Straße 2            ;41460;Neuss 1

21502;86747;REAL St. Augustin 8674.7      ;Rathausallee 16               ;53757;St. Augustin

21502;86754;REAL Duisburg 1 8675.4        ;Berliner Straße 90            ;47138;Duisburg 1

21502;86761;REAL Krefeld - Tönisvorst 3   ;Vorster Straße 224            ;47918;Krefeld - TÖNISVORST

21502;86778;REAL Mönchengladbach 3        ;Krefelderstrasse 643          ;41066;MÖNCHENGLADBACH 3

21502;86808;REAL Kamp-Lintfort 8680.8     ;Moerser Straße 221            ;47475;Kamp-Lintfort

21502;86839;REAL Dinslaken 8683.9         ;Thyssenstr. 70                ;46537;Dinslaken

21502;86846;REAL Bedburg 8684.6           ;Bahnhofstrasse                ;50181;Bedburg

21502;87010;REAL Euskirchen 8701.0        ;Narzissenweg 25               ;53881;Euskirchen

21502;87034;REAL Düren 1 8703.4           ;Heerweg 99                    ;52353;DÜREN 1

21502;87041;REAL Heinsberg 8704.1         ;Humboldstr.26                 ;52525;Heinsberg

21502;87058;REAL Krefeld 2 8705.8         ;Mevissenstr.60                ;47803;Krefeld 2

21502;87065;Real  Aachen 8706.5           ;Breslauer Str. 35             ;52068;AACHEN

21502;87072;REAL Neuss 8707.2             ;Bataverstr.93                 ;41462;Neuss

21502;87096;REAL Ratingen-Breitscheid     ;An der Hoffnung 125           ;40885;Ratingen-Breitscheid

21502;87102;REAL Mülheim/Ruhr 8710.2      ;Weseler Str.30-40             ;45478;MÜlheim/Ruhr

21502;87126;REAL Hamm 8712.6              ;Münsterstr.183                ;59073;Hamm

21502;87157;REAL Düsseldorf-Heerdt        ;Schießstr.31                  ;40549;DÜsseldorf-Heerdt

21502;87164;REAL Hürth/Köln 8716.4        ;Theresienhöhe                 ;50354;HÜRTH/KÖLN

21502;87171;REAL Heiligenroth/Montabaur 87;Industriestr.11               ;56412;Heiligenroth/Montaba

21502;87188;REAL Bochum 8718.8            ;Riemker Str.13                ;44809;Bochum

21502;87195;REAL Mönchengladbach 4        ;Reyerhütte 1                  ;41065;MÖNCHENGLADBACH 4

21502;87218;REAL Bielefeld 3 8721.8       ;Gütersloher Str.122           ;33649;Bielefeld 3

21502;87225;REAL Espelkamp 8722.5         ;General-Bishop Str.10         ;32339;Espelkamp

21502;87263;REAL Kassel 2 8726.3          ;Frankfurter Str.225           ;34134;Kassel 2

21502;87294;REAL Hagen - Bathey 2         ;Kabeler Str.25                ;58099;Hagen - Bathey 2

21502;87317;REAL Coesfeld 8731.7          ;Dülmener Str.39               ;48653;Coesfeld

21502;87324;REAL Moers 2 8732.4           ;Hülsdonkerstr.86              ;47441;Moers 2

21502;87362;REAL Rhede 8736.2             ;Gronauer Str.21               ;46414;Rhede

21502;87379;REAL Rees 8737.9              ;Gruettweg 42-46               ;46459;Rees

21502;87386;REAL Remscheid 8738.6         ;Alleestr.74                   ;42853;Remscheid

21502;87393;REAL Brakel 8739.3            ;Warburger Str.38              ;33034;Brakel

21502;87416;REAL Koblenz 8741.6           ;Bubenheimer Berg              ;56070;Koblenz

21502;87423;REAL Duisburg 8742.3          ;Buscher Str.66                ;47269;Duisburg

21502;87454;REAL Gütersloh 8745.4         ;Am Anger 22                   ;33332;GÜTERSLOH

21502;87461;REAL Rheine 8746.1            ;Lingener Str.19               ;48429;Rheine

21502;87485;REAL Bad Breisig 8748.5       ;Glodene Meile                 ;53498;Bad Breisig

21502;87492;REAL Übach-Palenberg          ;Boschstr.4                    ;52531;Übach-Palenberg

21502;87508;REAL Grevenbroich 8750.8      ;Am Rittergut 1                ;41515;Grevenbroich

21502;87515;REAL Langenfeld 8751.5        ;Rheindorfer Str. 48-56        ;40764;Langenfeld

21502;87614;REAL Monschau 8761.4          ;Industriestrasse 8            ;52156;Monschau

21503;80023;REAL Edingen-Neckarshausen    ;Rosenstraße 70                ;68535;Edingen-Neckarshause

21503;80030;REAL Saarbrücken-Dudweiler    ;Fischbachstr.121              ;66125;SAARBRÜCKEN-DUDWEILE

21503;80061;REAL Mannheim-Sandhofen 1     ;Amselstraße 10                ;68307;Mannheim-Sandhofen 1

21503;80078;REAL Sinzheim 8007.8          ;An der B 3                    ;76547;Sinzheim

21503;80115;REAL Kirchentellinsfurt       ;Wannweiler Straße 10          ;72138;Kirchentellinsfurt

