Kundennummer;Filialnummer;Filialname;Strasse;PLZ                      ;ORT

22198;89013;REAL Eschborn 8901.3          ;Ginnheimer Str. 18            ;65760;Eschborn

22198;89020;REAL Hattersheim 8902.0       ;Heddingheimer Str. 22         ;65795;Hattersheim

22198;89037;REAL Rüsselsheim 8903.7       ;Ausserhalb 14a                ;65428;RÜSSELSHEIM

22198;89044;REAL Stockstadt 8904.4        ;Taunusstraße 20               ;63811;Stockstadt

22198;89068;REAL Kaiserslautern II        ;Merkurstraße 62-64            ;67663;Kaiserslautern II

22198;89075;REAL Bobenheim-Roxheim        ;Frankenthaler Straße          ;67240;Bobenheim-Roxheim

22198;89082;REAL Haßloch 8908.2           ;Hans-Böckler Str.42           ;67454;HAßLOCH

22198;89099;REAL Limburg 8909.9           ;Mundipharmastraße 1           ;65549;Limburg

22198;89105;REAL Maintal 8910.5           ;Industriestr.6                ;63477;Maintal

22198;89112;REAL Wiesbaden 8911.2         ;Ostring 2                     ;65205;Wiesbaden

22198;89129;REAL Hockenheim 8912.9        ;Speyerer Straße 2             ;68766;Hockenheim

22198;89143;REAL Lollar 8914.3            ;Rothweg 4                     ;35457;Lollar

22198;89150;REAL Mainz 8915.0             ;Essenheimer Str. 222          ;55128;Mainz

22198;89198;REAL Mülheim-Kärlich          ;Industriestr. 4               ;56218;MÜLHEIM-KÄRLICH

22597;401;Praktiker                     ;Koenigsbergstrasse 27         ;95448;BAYREUTH

22597;402;Praktiker                     ;Weilimdorfer Strasse 101      ;70839;GERLINGEN

22597;421;Praktiker                     ;Kanalstrasse 53               ;41748;VIERSEN

22597;423;Praktiker                     ;Hornstrasse 17                ;45964;GLADBECK

22597;424;Praktiker                     ;Henry-Everl.Strasse 6         ;59174;KAMEN

22597;425;Praktiker                     ;Am alten Schacht 3            ;47198;DUISBURG-HOMBERG

22597;426;Praktiker                     ;Essen-Steeler-Strasse 65      ;47138;DUISBURG-MEIDERICH

22597;427;Praktiker                     ;Muensterstrasse 173           ;59065;HAMM

22597;428;Praktiker                     ;Rheinstrasse 20               ;41836;HUECKELHOVEN

22597;429;Praktiker                     ;Hafelsstrasse 249             ;47809;KREFELD-OPP.

22597;430;Praktiker                     ;Kalkarer Strasse 77           ;47533;KLEVE

22597;431;Praktiker                     ;Arminiusstrasse 50            ;44149;DORTMUND

22597;434;Praktiker                     ;Kupferstrasse 10b             ;44532;LUENEN

22597;435;Praktiker                     ;Weststrasse 4                 ;58089;HAGEN-VORH.

22597;437;Praktiker                     ;Escher Strasse 165            ;50739;KOELN-NIPPES

22597;439;Praktiker                     ;Stettiner Strasse 11          ;45770;MARL

22597;441;Praktiker                     ;Grenzstrasse 167              ;46562;VOERDE

22597;442;Praktiker                     ;Magdeburger Strasse 7         ;47800;KREFELD

22597;443;Praktiker                     ;Am Damm 11                    ;58332;SCHWELM

22597;444;Praktiker                     ;Kohlenstrasse 33              ;44795;BOCHUM

22597;445;Praktiker                     ;Franz-Haniel-Strasse 26       ;47443;MOERS

22597;446;Praktiker                     ;Mevissenstrasse 59            ;47803;KREFELD

22597;447;Praktiker                     ;Planckstrasse 10              ;59557;LIPPSTADT

22597;448;Praktiker                     ;Nordstrasse 1                 ;46485;WESEL

22597;449;Praktiker                     ;Donatusstrasse                ;50767;KOELN-PESCH

22597;450;Praktiker                     ;Odenkirchener Strasse 298     ;41236;MOENCHENGLADBACH-RH.

22597;451;Praktiker                     ;Aachener Strasse 387          ;41069;MOENCHENGLADBACH-HO.

22597;452;Praktiker                     ;Goebenstrasse 51              ;32051;HERFORD

22597;453;Praktiker                     ;Celler Strasse 81             ;38114;BRAUNSCHWEIG

22597;455;Praktiker                     ;Steinfurt 2                   ;52222;STOLBERG

22597;456;Praktiker                     ;Theodor-Heuss-Strasse 92      ;51149;KOELN-PORZ

22597;457;Praktiker                     ;Frankfurter Weg 20b           ;33106;PADERBORN

22597;458;Praktiker                     ;Kleinbahnstrasse 32           ;47906;KEMPEN

22597;472;Praktiker                     ;Thueringer Strasse            ;7552;GERA-BIEBLACH

22597;473;Praktiker                     ;Loedlaer Chaussee 1           ;4617;LOEDLA

22597;474;Praktiker                     ;Schomburgkstrasse 2           ;4179;LEIPZIG

22597;475;Praktiker                     ;Neubauernweg 1                ;1589;RIESA

22597;476;Praktiker                     ;Briesker Strasse 46           ;1968;BRIESKE-SENFTENBERG

22597;477;Praktiker                     ;An der B 180                  ;6333;HETTSTEDT/WALBECK

22597;478;Praktiker                     ;Anhaltstrasse                 ;6749;BITTERFELD

22597;479;Praktiker                     ;Leipziger/Schubertstrasse     ;8058;ZWICKAU

22597;480;Praktiker                     ;Hallesche Strasse             ;99734;NORDHAUSEN

22597;481;Praktiker                     ;Herner Strasse 6              ;6295;EISLEBEN

22597;482;Praktiker                     ;Wernder-v.Siemens-Ring 7      ;39116;MAGDEBURG

22597;483;Praktiker                     ;Langensalzaer Strasse 100a    ;99867;GOTHA

22597;484;Praktiker                     ;Upstallstrasse 15             ;14772;BRANDENBURG

22597;485;Praktiker                     ;Am Stremsgraben 3             ;39218;SCHOENEBECK

22597;487;Praktiker                     ;Zepziger Weg                  ;6406;BERNBURG

22597;488;Praktiker                     ;Neinstedter Feldweg 5         ;6484;QUEDLINBURG

22597;489;Praktiker                     ;Heinrich-Heine-Strasse 1      ;98617;MEININGEN

22597;490;Praktiker                     ;Hainewalder Strasse 2         ;2763;ZITTAU

22597;491;Praktiker                     ;Huettenstrasse 5              ;9599;FREIBERG

22597;492;Praktiker                     ;Zunftstrasse 17               ;6847;DESSAU

22597;501;Praktiker                     ;Am Ellernbusch 29             ;52355;DUEREN

22597;505;Praktiker                     ;Germaniastrasse 47            ;51065;KOELN-BUCHHEIM

22597;512;Praktiker                     ;Berzdorfer Strasse 7          ;50321;BRUEHL

22597;516;Praktiker                     ;Roonstrasse 9 - 11            ;44629;HERNE

22597;517;Praktiker                     ;Humboldtstrasse 15            ;50126;BERGHEIM

22597;518;Praktiker                     ;Fuellscheuerweg 35            ;56626;ANDERNACH

22597;519;Praktiker                     ;Koelner Strasse               ;54576;HILLESHEIM

22597;520;Praktiker                     ;Debeystrasse                  ;52078;AACHEN

22597;521;Praktiker                     ;Gewerbegebiet Mersch 3        ;45721;HALTERN

22597;523;Praktiker                     ;Duerener Strasse 52 - 58      ;50226;FRECHEN

22597;524;Praktiker                     ;An der Olef                   ;53937;SCHLEIDEN

22597;525;Praktiker                     ;Im großen Tal 2               ;52353;DUEREN II

22597;528;Praktiker                     ;Industriestrasse 10           ;47495;RHEINBERG

22597;529;Praktiker                     ;Margaretenstrasse 16          ;52428;JUELICH

22597;532;Praktiker                     ;Hoehestrasse                  ;51399;BURSCHEID

22597;533;Praktiker                     ;Christian-Lassen Strasse 4    ;53117;BONN

22597;541;Praktiker                     ;Artlenburger Landstrasse      ;21365;ADENDORF (LUENEBURG)

22597;543;Praktiker                     ;An der Drehbank/Ecke Hagener  ;58285;GEVELSBERG

22597;544;Praktiker                     ;Am Hammerwerk 24              ;41515;GREVENBROICH

22597;545;Praktiker                     ;Hellmesberger Weg 23          ;22145;HAMBURG-RAHLSTEDT

22597;550;Praktiker                     ;Daimlerstrasse 50             ;74211;LEINGARTEN (HEILBR.)

22597;551;Praktiker                     ;Am Alten Eisenwerk 10         ;21339;LUENEBURG

22597;553;Praktiker                     ;Oderstrasse 15                ;84453;MUEHLDORF

22597;555;Praktiker                     ;Schellbergstrasse 27          ;41469;NEUSS-NORF

22597;556;Praktiker                     ;Am Vossberg 19                ;23758;OLDENBURG-HOLSTEIN

22597;557;Praktiker                     ;Neufelder Weg                 ;27619;SCHIFFDORF-SPADEN

22597;559;Praktiker                     ;Carl-Benz-Strasse 2           ;21684;STADE

22597;561;Praktiker                     ;Halbendorfer Weg 3            ;2943;WEISSWASSER

22597;562;Praktiker                     ;Thalheimer Strasse 150        ;6776;WOLFEN

22597;563;Praktiker                     ;Alte Ratinger Landstrasse 25a ;42489;WUELFRATH

22597;572;Praktiker                     ;Luchsstrasse 1                ;46149;OBERHAUSEN-STERKRADE

22597;601;Praktiker                     ;Miltitzer Strasse             ;4178;BURGHAUSEN (LEIPZIG)

22597;604;Praktiker                     ;Am Bruchweg                   ;38822;EMERSLEBEN

22597;605;Praktiker                     ;Hermsdorfer Strasse 4         ;99099;ERFURT-TEC

22597;606;Praktiker                     ;Rugenbarg 250                 ;22549;HAMBURG

22597;607;Praktiker                     ;Kopernikusstrasse 6           ;85221;DACHAU

22597;608;Praktiker                     ;Reichenau Strasse 208         ;78467;KONSTANZ

22597;609;Praktiker                     ;Neuer Markt 1                 ;78052;VILLINGEN-SCHWENNIN.

22597;610;Praktiker                     ;Mainzer Strasse 180 - 184     ;66121;SAARBRUECKEN

22597;611;Praktiker                     ;Am Falbenholz                 ;91126;SCHWABACH

22597;612;Praktiker                     ;Breslauer Strasse 2           ;41460;NEUSS

22597;613;Praktiker                     ;Blaubeurer Strasse            ;89077;ULM

22597;614;Praktiker                     ;Kurt-Schumacher-Damm/Kapweg1-2;13405;BERLIN-WEDDING

22597;615;Praktiker                     ;Friedrichstaedterstrasse      ;24768;RENDSBURG

22597;632;Praktiker                     ;Daimlerstrasse 3              ;84503;ALTOETTING

22597;634;Praktiker                     ;Graflinger Strasse 121        ;94469;DEGGENDORF

22597;635;Praktiker                     ;Hans-Vogel-Strasse 117        ;90765;FUERTH-POPPENREUTH

22597;638;Praktiker                     ;Industriestrasse 51           ;84030;ERGOLDING-LANDSHUT

22597;643;Praktiker                     ;Peter-Anders-Strasse 12       ;81245;MUENCHEN (PASING)

22597;644;Praktiker                     ;Balanstrasse 52               ;81541;MUENCHEN (OST)

22597;646;Praktiker                     ;Holzmann Strasse 52           ;94036;PASSAU

22597;648;Praktiker                     ;Regensburgerstrasse 93        ;92637;WEIDEN

22597;649;Praktiker                     ;Arno Jacoby Strasse 10        ;84347;PFARRKIRCHEN

22597;650;Praktiker                     ;Straßaecker 6                 ;82418;MURNAU

22597;651;Praktiker                     ;Karlsruher Strasse 27         ;76437;RASTATT

22597;661;Praktiker                     ;Praunheimerstrasse            ;65760;ESCHBORN

22597;662;Praktiker                     ;In der Beyerbachstrasse       ;65830;KRIFTEL

22597;663;Praktiker                     ;An der Autobahn               ;65428;RUESSELSHEIM-BAUSCH.

22597;666;Praktiker                     ;Industriestrasse 23           ;55232;ALZEY

22597;670;Praktiker                     ;Mundipharmastrasse 1          ;65549;LIMBURG

22597;671;Praktiker                     ;Ostring 2                     ;65205;WIESBADEN-NORDENST.

22597;673;Praktiker                     ;Wilhelm-Oswald-Strasse        ;53721;SIEGBURG

22597;674;Praktiker                     ;Rothweg 4                     ;35457;LOLLAR

22597;676;Praktiker                     ;Strahlenberg Strasse 81 - 87  ;63067;OFFENBACH

22597;681;Praktiker                     ;Obernburger Strasse           ;63811;STOCKSTADT

22597;701;Praktiker                     ;Varrelheide 203               ;30657;HANNOVER (AWB)

22597;712;Praktiker                     ;Steinsetzer Strasse 15        ;28279;BREMEN-HABENHAUSEN

22597;716;Praktiker                     ;Siemensstrasse 14             ;31135;HILDESHEIM

22597;717;Praktiker                     ;Hannoversche Strasse 51       ;49084;OSNABRUECK

22597;718;Praktiker                     ;Am Fohling                    ;33106;PADERBORN-ELSEN

22597;719;Praktiker                     ;Kurze Kampstrasse 1           ;38104;BRAUNSCHWEIG III

22597;721;Praktiker                     ;Rheiner Strasse 114           ;49809;LINGEN

22597;722;Praktiker                     ;Dieselstrasse 10              ;31228;PEINE

22597;723;Praktiker                     ;Industriestrasse 1            ;38350;HELMSTEDT

22597;725;Praktiker                     ;Stubbenweg 29                 ;26125;OLDENBURG

22597;727;Praktiker                     ;Alte Ricklinger Strasse 45    ;30823;GARBSEN

22597;728;Praktiker                     ;Grevener Damm (B481)          ;48282;EMSDETTEN

22597;729;Praktiker                     ;Liebigstrasse 2               ;38640;GOSLAR

22597;730;Praktiker                     ;Waldseer Strasse              ;88250;WEINGARTEN

22597;731;Praktiker                     ;Gewerbepark                   ;18442;LANGENDORF (STRALS.)

22597;732;Praktiker                     ;Am Hopfenfeld 2               ;2829;GOERLITZ (GIRBIGSD.)

22597;733;Praktiker                     ;Nordpassage 1                 ;15890;EISENHUETTENSTADT

22597;734;Praktiker                     ;Munzinger Strasse 6           ;79111;FREIBURG

22597;735;Praktiker                     ;An der B 96                   ;15806;GROSS-MACHNOW

22597;736;Praktiker                     ;Bruenner Strasse 8            ;4209;LEIPZIG-GRUENAU

22597;737;Praktiker                     ;An der B 97                   ;3058;COTTBUS

22597;738;Praktiker                     ;Teninger Strasse 3            ;1619;ZEITHAIN (RIESA)

22597;739;Praktiker                     ;Mirabellenstrasse 2           ;17033;NEUBRANDENBURG

22597;740;Praktiker                     ;Josef-Baumann-Strasse 20      ;44805;BOCHUM II

22597;741;Praktiker                     ;An der B 247                  ;99869;SCHWABHAUSEN (GOTHA)

22597;742;Praktiker                     ;Albersloherweg 198            ;48155;MUENSTER

22597;743;Praktiker                     ;Salbker Chaussee              ;39118;MAGDEBURG (SUED)

22597;744;Praktiker                     ;Saalestrasse                  ;39126;MAGDEBURG (NORD)

22597;745;Praktiker                     ;Alte Joessnitzer Strasse 30   ;8525;KAUSCHWITZ (PLAUEN)

22597;746;Praktiker                     ;Aeussere Reichenbacher Strasse;8529;PLAUEN-SUED

22597;747;Praktiker                     ;Niedereimerfeld 8             ;59823;ARNSBERG

22597;748;Praktiker                     ;Zoellnitzer Strasse 1         ;7751;JENA-ZOELLNITZ

22597;749;Praktiker                     ;Eriagstrasse                  ;85053;INGOLSTADT

22597;750;Praktiker                     ;Ubierstrasse                  ;26723;EMDEN

22597;751;Praktiker                     ;Hunnenstrasse 12              ;86343;KOENIGSBRUNN

22597;752;Praktiker                     ;Hoergensweg                   ;22523;HAMBURG-EIDELSTEDT

22597;753;Praktiker                     ;Am Mueggelpark 10             ;15537;BERLIN-GOSEN

22597;754;Praktiker                     ;Hansestrasse 45 - 56          ;18182;BENTWISCH (ROSTOCK)

22597;755;Praktiker                     ;Am Koenigwasser 9             ;98528;SUHL

22597;756;Praktiker                     ;Weststrasse                   ;6847;DESSAU

22597;757;Praktiker                     ;Industriestrasse 9            ;7546;GERA

22597;758;Praktiker                     ;Schleswiger Strasse           ;24941;FLENSBURG

22597;759;Praktiker                     ;Kappeler Strasse 135 - 137    ;40599;DUESSELDORF

22597;760;Praktiker                     ;Grabenstrasse 3               ;19061;SCHWERIN-KREBSFOERD.

22597;761;Praktiker                     ;Printzstrasse 2               ;76139;KARLSRUHE-HAGSFELD

22597;762;Praktiker                     ;Lauchstaedter Strasse 6       ;6179;ANGERSDORF (HALLE)

22597;763;Praktiker                     ;Industriestrasse              ;63477;MAINTAL-DOERNINGHEIM

22597;764;Praktiker                     ;Ruhrtalstrasse 46a            ;45239;ESSEN-WERDEN

22597;765;Praktiker                     ;Mindener Landstrasse 46       ;31582;NIENBURG

22597;766;Praktiker                     ;Nuettermoorerstrasse          ;26770;LEER-NUETTERMOOR

22597;767;Praktiker                     ;Loessnitzer Strasse           ;8280;AUE

22597;768;Praktiker                     ;Auf dem Ralande 20            ;21465;WENTORF

22597;769;Praktiker                     ;Geniner-Str./Hinter d. Kirschk;23560;LUEBECK

22597;770;Praktiker                     ;Dingdener Strasse 22          ;46395;BOCHOLT

22597;771;Praktiker                     ;Gewerbegebiet Seidenhof       ;95326;KULMBACH

22597;772;Praktiker                     ;Ratiborstrasse 1              ;94315;STRAUBING

22597;773;Praktiker                     ;Schloesserstrasse 2 - 4       ;38229;SALZGITTER

22597;774;Praktiker                     ;Lise-Meitner-Strasse 2        ;25337;ELMSHORN

22597;775;Praktiker                     ;Residenzstrasse 2 - 6         ;91522;ANSBACH

22597;776;Praktiker                     ;Kremmener Strassen            ;16515;ORANIENBURG

22597;777;Praktiker                     ;Karlsruherstrasse 75 - 81     ;75179;PFORZHEIM

22597;778;Praktiker                     ;Hermann-Boege-Strasse         ;9120;CHEMNITZ

22597;779;Praktiker                     ;Heinrich-Schuetz-Strasse      ;9130;CHEMNITZ

22597;780;Praktiker                     ;Wittgensdorfer Höhe 3         ;9228;WITTGENSDORF

22597;781;Praktiker                     ;Berliner Chaussee 72          ;6886;LUTHERSTADT-WITTENBE

22597;782;Praktiker                     ;Affoellerstr.                 ;35039;MARBURG

22597;783;Praktiker                     ;Nuhnenstrasse 19              ;15234;FRANKFURT/ODER

22597;784;Praktiker                     ;Oderstrasse                   ;14513;TELTOW

22597;785;Praktiker                     ;Geisseestrasse 65             ;90439;NUERNBERG

22597;786;Praktiker                     ;Mindener Strasse 22           ;32547;BAD OEYNHAUSEN

22597;787;Praktiker                     ;Augsburgerstrasse             ;86368;GERSTHOFEN

22597;788;Praktiker                     ;Ohmstrasse 10                 ;91074;HERZOGENAURACH

22597;789;Praktiker                     ;Rolshoverstrasse              ;51105;KOELN-POLL

22597;790;Praktiker                     ;Haart 190                     ;24539;NEUMUENSTER

22597;791;Praktiker                     ;Strickerstrasse               ;45329;ESSEN

22597;792;Praktiker                     ;Vor dem Dorfe 5               ;99189;ERFURT-ELXLEBEN

22597;793;Praktiker                     ;Detmolder Strasse 351         ;33605;BIELEFELD

22597;794;Praktiker                     ;Kreuzbergstrasse 38           ;36043;FULDA

22597;795;Praktiker                     ;Bahnhofstrasse 65             ;46145;OBERHAUSEN-STERKRADE

22597;796;Praktiker                     ;Tiergartenstrasse             ;64646;HEPPENHEIM

22597;797;Praktiker                     ;Otto Roehm Strasse            ;64293;DARMSTADT

22597;798;Praktiker                     ;Torgauer Strasse 271          ;4347;LEIPZIG

22597;799;Praktiker                     ;Vollmershauser Strasse        ;51645;GUMMERSBACH

22597;800;Praktiker                     ;Duisburger Strasse 131        ;46049;OBERHAUSEN

22597;801;Praktiker                     ;Auchtertstrasse 9             ;72770;REUTLINGEN-BETZINGEN

22597;802;Praktiker                     ;An der B 109                  ;17491;GREIFSWALD

22597;803;Praktiker                     ;Hollaendische Strasse         ;34127;KASSEL

22597;804;Praktiker                     ;Berliner Strasse 94           ;72458;ALBSTADT-EBINGEN

22597;805;Praktiker                     ;Gildestrasse 1                ;91154;ROTH

22597;808;Praktiker                     ;Rosenheimer Strasse 68        ;83059;KOLBERMOOR

22597;809;Praktiker                     ;Wiesstrasse 17                ;87435;KEMPTEN

22597;811;Praktiker                     ;Redener Strasse               ;66540;NEUNKIRCHEN-SINNERT.

22597;812;Praktiker                     ;Breslauer Strasse 63          ;56566;NEUWIED

22597;814;Praktiker                     ;Rudolf-Diesel-Strasse 6       ;90513;ZIRNDORF

22597;816;Praktiker                     ;An der Fohlenweide 21         ;67112;MUTTERSTADT

22597;818;Praktiker                     ;An der B 172                  ;1809;HEIDENAU (DRESDEN)

22597;820;Praktiker                     ;Hauptstrasse 129              ;33378;RHEDA-WIEDENBRUECK

22597;821;Praktiker                     ;Regensburger Strasse 68       ;92421;SCHWANDORF

22597;822;Praktiker                     ;Von-Liebig-Strasse 4          ;89231;NEU-ULM

22597;823;Praktiker                     ;Birkenweg 7                   ;87700;MEMMINGEN

22597;824;Praktiker                     ;Adolf-Kolping-Strasse         ;85356;FREISING

22597;825;Praktiker                     ;Carl-Metz-Strasse 5           ;76185;KARLSRUHE

22597;826;Praktiker                     ;Hastenbecker Weg 51           ;31785;HAMELN

22597;827;Praktiker                     ;Gewerbestrasse Sued           ;41812;ERKELENZ

22597;828;Praktiker                     ;Loebauer Strasse 121          ;2625;BAUTZEN

22597;829;Praktiker                     ;Vor den Fuhren 2              ;29221;CELLE

22597;830;Praktiker                     ;Ludwigstaler Strasse 135      ;78532;TUTTLINGEN

22597;831;Praktiker                     ;Karl-Marx-Strasse             ;3172;GUBEN

22597;832;Praktiker                     ;Schultenhofstrasse 46         ;45475;MUELHEIM-DUEMPTEN

22597;833;Praktiker                     ;Luebbecker Str.               ;32429;MINDEN

22597;834;Praktiker                     ;Güterstrasse                  ;26389;WILHELMSHAVEN

22597;835;Praktiker                     ;Nienburger Strasse 1          ;27751;DELMENHORST

22597;836;Praktiker                     ;Untere Strasse 2              ;23968;GAEGELOW

22597;837;Praktiker                     ;Max-Planck-Strasse 3          ;37603;HOLZMINDEN

22597;838;Praktiker                     ;Luerriper Str.                ;41065;MOENCHENGLADBACH

22597;839;Praktiker                     ;Mathias-Erzberger Strasse     ;66806;ENSDORF

22597;843;Praktiker                     ;Warburger Strasse 132         ;33100;PADERBORN

22597;845;Praktiker                     ;Asbeckstrasse 38              ;45883;GELSENKIRCHEN

22597;848;Praktiker                     ;G.-Daimler-Strasse 6          ;35398;GIESSEN

22597;851;Praktiker                     ;Adenauer Strasse 9 - 11       ;52146;WUERSELEN

22597;853;Praktiker                     ;Hans-Boeckler-Strasse 26      ;95032;HOF II

22597;855;Praktiker                     ;Am Opelkreisel 16             ;67663;KAISERSLAUTERN

22597;856;Praktiker                     ;Hans-Boeckler-Strasse 3       ;59423;UNNA

22597;857;Praktiker                     ;An der B 167                  ;16244;FINOWFURT

22597;858;Praktiker                     ;Regensburger Strasse 330      ;90480;NUERNBERG

22597;859;Praktiker                     ;Reichenbacher Strasse         ;8056;ZWICKAU

22597;861;Praktiker                     ;Dotzheimer Strasse 182b       ;65197;WIESBADEN I

22597;863;Praktiker                     ;Stuttgarter Strasse 10        ;76646;BRUCHSAL-HEIDELSHEIM

22597;865;Praktiker                     ;Hans-Hayder-Strasse 2         ;93059;REGENSBURG

22597;868;Praktiker                     ;Gompitzer Hoehe 5             ;1156;DRESDEN-GOMPITZ

22597;869;Praktiker                     ;Lyonel-Feininger-Strasse 3    ;80807;MUENCHEN

22597;870;Praktiker                     ;Brielower Landstrasse         ;14772;BRANDENBURG

22597;872;Praktiker                     ;Dresdener Strasse             ;1640;COSWIG (DRESDEN)

22597;873;Praktiker                     ;Am Handelshof 3               ;97076;WUERZBURG

22597;876;Praktiker                     ;Leipziger Strasse 124 - 126   ;34123;KASSEL I

22597;878;Praktiker                     ;Eisenbahnstrasse 77           ;67227;FRANKENTHAL

22597;879;Praktiker                     ;An der B 105 (im Ostseepark)  ;18069;SIEVERSHAGEN

22597;880;Praktiker                     ;Heinrich-Hertz-Strasse 6      ;77656;OFFENBURG

22597;881;Praktiker                     ;Kronacher Strasse 1           ;7333;UNTERWELLENBORN

22597;883;Praktiker                     ;Zurmainerstrasse 155 - 157    ;54292;TRIER

22597;884;Praktiker                     ;Am Mondschein 26              ;59557;LIPPSTADT

22597;886;Praktiker                     ;Englerstrasse 8               ;69126;HEIDELBERG

22597;887;Praktiker                     ;Am Wildacker 12               ;74172;NECKARSULM

22597;890;Praktiker                     ;Am Marktwege 2                ;6667;LEIßLING-WEIßENFELS

22597;891;Praktiker                     ;Rabahne 6                     ;38820;HALBERSTADT

22597;892;Praktiker                     ;An der B 100                  ;6188;PEIßEN (HALLE)

22597;894;Praktiker                     ;Klingenbergstrasse            ;32758;DETMOLD

22597;896;Praktiker                     ;Rheinallee 179                ;55120;MAINZ

22623;1;                              ;                              ;            ;

22623;2;EDEKA Handelsgesellschaft     ;Edekastr. 1                   ;77656;OFFENBURG

22623;53936;E-Center                      ;Donaueschinger Str. 10        ;79822;TITISEE-NEUSTADT

22623;74902;Scheck-in-Center              ;Marstallstr.18                ;76224;KARLSRUHE

22623;75080;Scheck-in-Center Achern       ;Fautenbacher Str. 25          ;77855;ACHERN

22623;75738;E-Center Scheck               ;Rüppurrer Str.1 /Kriegsstr.   ;76227;KARLSRUHE

22623;75740;E-Center Kohler               ;Am alten Stadtbahnhof         ;77933;LAHR

22623;75741;E-Center                      ;Saarbrücker Str.              ;66359;BOUS

22684;988;Deutsche Woolworth GmbH&Co.KG ;Edisonstrasse 5               ;59199;BÖNEN

22906;1;Globus Handelshof St.Wendel   ;Am Wirthembösch               ;66606;ST. WENDEL

22906;2;OGILVYONE Worldwide GmbH&Co.KG;Darmstädter Landstr. 112      ;60598;FRANKFURT AM MAIN

22909;5;Globus Handelshof St.Wendel   ;An der B41                    ;55743;IDAR-OBERSTEIN

22910;6;Globus Handelshof St.Wendel   ;Wolfsau 4                     ;66130;SAARBRÜCKEN-GÜDINGEN

22911;1;Globus Handelshof St.Wendel   ;Dieselstraße                  ;66740;SAARLOUIS

22911;7;Globus Handelshof St.Wendel   ;Dieselstraße                  ;66740;SAARLOUIS

22912;9;Globus Handelshof St.Wendel   ;Argenthaler Straße            ;55469;SIMMERN

22913;10;Globus Handelshof St.Wendel   ;Fliehburgstr. 18              ;56856;ZELL/MOSEL

22914;11;Globus Handelshof St.Wendel   ;Brückenstr. 17                ;56112;LAHNSTEIN

22915;13;Globus Handelshof St.Wendel   ;Hambrücker Landstraße         ;68753;WAGHÄUSEL-WIESENTAL

22916;14;Globus Handelshof St.Wendel   ;Hohenfelder Str. 20           ;56068;KOBLENZ

22917;16;Globus Handelshof St.Wendel   ;Rathausstr.53                 ;66333;VÖLKLINGEN

22918;17;Globus Handelshof St.Wendel   ;Pommernstraße 4               ;93073;NEUTRAUBLING

22919;18;Globus Handelshof St.Wendel   ;Adolf-Kolping-Str. 173-175    ;67433;NEUSTADT/WEINSTRAßE

22919;181;Globus Neustadt/W             ;Adolf-Kolping-Str. 173-175    ;67433;NEUSTADT/W

22920;19;Globus Handelshof St.Wendel   ;Main-Kinzig-Str.              ;63607;WÄCHTERSBACH

22921;22;Globus Handelshof St.Wendel   ;Nordstrasse 1                 ;4416;MARKKLEEBERG

22922;25;Globus Handelshof St.Wendel   ;Kamenzer Bogen 1              ;2977;HOYERSWERDA

22923;26;Globus Handelshof St.Wendel   ;Zeitzer Str. 39               ;6727;THEISSEN

22924;29;Globus Handelshof St.Wendel   ;Am Brunnfeld 8                ;92421;SCHWANDORF

22925;31;Globus Handelshof St.Wendel   ;Max-Planck-Str:9              ;50858;KÖLN-MARSDORF

22926;32;Globus Handelshof St.Wendel   ;Taltitzer Str. 80             ;8535;WEISCHLITZ

22927;33;Globus Handelshof St.Wendel   ;Dr. Walter Bruch Str.         ;94447;PLATTLING

22928;35;Globus Handelshof St.Wendel   ;Leipziger Chausee 147         ;6112;HALLE-BRUCKDORF

22929;36;Globus Handelshof St.Wendel   ;Globusring 1                  ;18184;ROSTOCK-ROGGENTIN

22930;38;Globus Handelshof St.Wendel   ;Siemensstr. 18                ;84453;MÜHLDORF/INN

22931;40;Globus Handelshof St.Wendel   ;Daimler Str. 23               ;67269;GRÜNSTADT

22932;2;Globus Handelshof St.Wendel   ;Industriestraße 10            ;35582;WETZLAR

22934;3;Globus Handelshof St.Wendel   ;Binger Straße                 ;55457;GENSINGEN

22935;27;Globus Handelshof St.Wendel   ;Rodaer Srt. 72                ;7629;HERMSDORF

22936;37;Globus Handelshof St.Wendel   ;Äussere Schneeberger Str.100  ;8056;ZWICKAU

22937;4;Globus Handelshof St.Wendel   ;Neunmorgenstraße              ;66424;EINÖD

22939;23;Globus Handelshof St.Wendel   ;An der Beerweinschänke Nr.2   ;7554;GERA-TREBNITZ

22940;24;Globus Handelshof St.Wendel   ;Erfurter Str. 72              ;99195;ERFURT-MITTELHAUSEN

22941;12;Globus Handelshof St.Wendel   ;Weimarische Str.17            ;99198;ERFURT-LINDERBACH

